Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,"Santa Ana de los Ríos de Cuenca is set in a valley surrounded by the Andean mountains in the south of Ecuador. This inland colonial town (entroterra ), now the country's third city, was founded in 1557 on the rigorous planning guidelines issued 30 years earlier by the Spanish king Charles V. Cuenca still observes the formal orthogonal town plan that it has respected for 400 years. One of the region's agricultural and administrative centres, it has been a melting pot for local and immigrant populations. Cuenca's architecture, much of which dates from the 18th century, was 'modernized' in the economic prosperity of the 19th century as the city became a major exporter of quinine, straw hats and other products.",S2 52 60 W78 58 60,Province of Azuay,1999,(ii)(iv)(v)
"Qhapaq Ñan, Andean Road System","Argentina, Bolivia (Plurinational State of), Chile, Colombia, Ecuador, Peru","This site is an extensive Inca communication, trade and defence network of roads covering 30,000 km. Constructed by the Incas over several centuries and partly based on pre-Inca infrastructure, this extraordinary network through one of the world’s most extreme geographical terrains linked the snow-capped peaks of the Andes – at an altitude of more than 6,000 m – to the coast, running through hot rainforests, fertile valleys and absolute deserts. It reached its maximum expansion in the 15th century, when it spread across the length and breadth of the Andes. The Qhapac Ñan, Andean Road System includes 273 component sites spread over more than 6,000 km that were selected to highlight the social, political, architectural and engineering achievements of the network, along with its associated infrastructure for trade, accommodation and storage, as well as sites of religious significance.",S18 15 0 W69 35 30,N/A,2014,(ii)(iii)(iv)(vi)
Abu Mena,Egypt,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.",N30 50 9 E29 40 0,"Mariut desert, District of Burg al-Arab, Gouvernate of Al Iskandariyah (Alexandria)",1979,(iv)
Ancient Thebes with its Necropolis,Egypt,"Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.",N25 43 59.988 E32 36 0,Governorate of Qina,1979,(i)(iii)(vi)
Historic Cairo,Egypt,"Tucked away amid the modern urban area of Cairo lies one of the world's oldest Islamic cities, with its famous mosques, madrasas, hammams and fountains. Founded in the 10th century, it became the new centre of the Islamic world, reaching its golden age in the 14th century.",N30 3 0 E31 15 39.996,Governorate of al-Qahirah (Cairo),1979,(i)(v)(vi)
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,"The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.",N29 58 33.744 E31 7 49.476,Governorate of Giza,1979,(i)(iii)(vi)
Nubian Monuments from Abu Simbel to Philae,Egypt,"This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.",N22 20 14 E31 37 32.9,Governorate of Aswan,1979,(i)(iii)(vi)
Saint Catherine Area,Egypt,"The Orthodox Monastery of St Catherine stands at the foot of Mount Horeb where, the Old Testament records, Moses received the Tablets of the Law. The mountain is known and revered by Muslims as Jebel Musa. The entire area is sacred to three world religions: Christianity, Islam, and Judaism. The Monastery, founded in the 6th century, is the oldest Christian monastery still in use for its initial function. Its walls and buildings of great significace to studies of Byzantine architecture and the Monastery houses outstanding collections of early Christian manuscripts and icons. The rugged mountainous landscape, containing numerous archaeological and religious sites and monuments, forms a perfect backdrop to the Monastery.",N28 33 22.428 E33 58 31.548,Governorate of Janub Sina' (South Sinai),2002,(i)(iii)(iv)(vi)
Wadi Al-Hitan (Whale Valley),Egypt,"Wadi Al-Hitan, Whale Valley, in the Western Desert of Egypt, contains invaluable fossil remains of the earliest, and now extinct, suborder of whales, Archaeoceti. These fossils represent one of the major stories of evolution: the emergence of the whale as an ocean-going mammal from a previous life as a land-based animal. This is the most important site in the world for the demonstration of this stage of evolution. It portrays vividly the form and life of these whales during their transition. The number, concentration and quality of such fossils here is unique, as is their accessibility and setting in an attractive and protected landscape. The fossils of Al-Hitan show the youngest archaeocetes, in the last stages of losing their hind limbs. Other fossil material in the site makes it possible to reconstruct the surrounding environmental and ecological conditions of the time.",N29 19 59.988 E30 10 59.988,Faiyum Governorate,2005,(viii)
Joya de Cerén Archaeological Site,El Salvador,"Joya de Cerén was a pre-Hispanic farming community that, like Pompeii and Herculaneum in Italy, was buried under an eruption of the Laguna Caldera volcano c. AD 600. Because of the exceptional condition of the remains, they provide an insight into the daily lives of the Central American populations who worked the land at that time.",N13 49 39 W89 22 9,"Department of La Libertad, Canton Joya de Ceren, jurisdiction of San Juan Opico",1993,(iii)(iv)
Asmara: A Modernist African City,Eritrea,"Located at over 2,000 m above sea level, the capital of Eritrea developed from the 1890s onwards as a military outpost for the Italian colonial power. After 1935, Asmara underwent a large scale programme of construction applying the Italian rationalist idiom of the time to governmental edifices, residential and commercial buildings, churches, mosques, synagogues, cinemas, hotels, etc. The property encompasses the area of the city that resulted from various phases of planning between 1893 and 1941, as well as the indigenous unplanned neighbourhoods of Arbate Asmera and Abbashawel. It is an exceptional example of early modernist urbanism at the beginning of the 20th century and its application in an African context.",N15 20 7 E38 56 9,N/A,2017,(ii)(iv)
Historic Centre (Old Town) of Tallinn,Estonia,"The origins of Tallinn date back to the 13th century, when a castle was built there by the crusading knights of the Teutonic Order. It developed as a major centre of the Hanseatic League, and its wealth is demonstrated by the opulence of the public buildings (the churches in particular) and the domestic architecture of the merchants' houses, which have survived to a remarkable degree despite the ravages of fire and war in the intervening centuries.",N59 25 59.988 E24 43 60,County of Harju,1997,(ii)(iv)
Struve Geodetic Arc,"Belarus, Estonia, Finland, Latvia, Lithuania, Norway, Republic of Moldova, Russian Federation, Sweden, Ukraine","The Struve Arc is a chain of survey triangulations stretching from Hammerfest in Norway to the Black Sea, through 10 countries and over 2,820 km. These are points of a survey, carried out between 1816 and 1855 by the astronomer Friedrich Georg Wilhelm Struve, which represented the first accurate measuring of a long segment of a meridian. This helped to establish the exact size and shape of the planet and marked an important step in the development of earth sciences and topographic mapping. It is an extraordinary example of scientific collaboration among scientists from different countries, and of collaboration between monarchs for a scientific cause. The original arc consisted of 258 main triangles with 265 main station points. The listed site includes 34 of the original station points, with different markings, i.e. a drilled hole in rock, iron cross, cairns, or built obelisks.",N59 3 28 E26 20 16,N/A,2005,(ii)(iv)(vi)
